en,zh
AI魔法師問卷_en,AI魔法師問卷
AI Magician Survey,AI魔法師問卷
"What problems do you want to solve , or  what pain points do you have  ?",你有什麼痛點，或者有什麼問題想解決
中文版,english version
What topics related to AI you are interested in?,對AI相關的什麼議題有興趣?
"AI-related stocks e.g.: MSFT, TSLA","AI相關股票 ex: MSFT, TSLA"
"AI-related hardware e.g.: NV, AMD","AI相關硬體 ex: NV, AMD"
"AI-related algorithms e.g.: CNN, Transformer,","AI相關演算法 ex: CNN, Transformer,"
"AI Art e.g.: Stable Diffusion, Midjourney","AI繪圖 ex: Stable Diffusion, Midjourney"
AI Programming e.g.: Copilot X,AI寫程式 ex: Copilot X
"AI Assisting Workflow e.g.: NotionAI, office 365 Copilot","AI協助工作流程 ex: NotionAI, office 365 Copilot"
"AI Writing Text such as story, slogan, ads,...",AI做遊戲
AI Generating Gaming,AI寫文本
AI Making Jokes,AI講幹話
AI Composing Music,AI作曲
AI Creating Tools,AI製作工具
AI Playing Chess or Cards,AI下棋打牌
其他…,其他…
"What platforms do you usually use to gain AI-related skills, and you are actually using them?",平常使用哪些平台獲取AI相關使用技巧，而且是真的在使用?
youtube,youtube
facebook,facebook
twitter,twitter
ptt,ptt
telegram,telegram
tiktok,tiktok
line,line
IG,IG
Discord,Discord
其他…,其他…
"Do you feel helpful with the AI-related information on various platforms like FB, YT, etc. ?","目前各家平台FB,YT..... AI相關的資訊你覺得有幫助嗎?"
"Helpful, I learned a lot",有幫助，學到很多
Maybe not,不一定
"Based on the previous two questions, why a AI-related channels would you recommend due to what you've learned and where have you applied this knowledge?",基於上兩題，為什麼你會推薦一個AI相關頻道，是因為你學到了什麼並且用在哪了?
What type of media would you like to see?,會希望看到怎樣的資訊形式?
Articles (e.g.: Medium),文章 (例如：Medium)
Audio (e.g.: Podcast),語音 (例如：Podcast 廣播)
Video (e.g.: YouTube),影片 (例如：YouTube)
Live streaming (e.g. Twitch),直播 (例如：Twitch)
Courses (e.g.: Udemy),課程 (例如：Hahow)
其他…,其他…
"Given the challenges or problems you're currently encountering, what specific information are you seeking?",你想解決什麼問題? 或者遇到哪些問題? 所以會想看哪些資訊?
What pain points have you encountered that AI cannot solve?,你目前遇到哪些痛點是AI不能解決的?
What pain points have you encountered that AI may solve?,你目前遇到哪些痛點是AI有可能解決的?
Do you have any other thoughts related to AI?,除了以上之外還有什麼跟AI相關的想法嗎??
"If I release information about AI at Twitter, are you interested in following?",我AI訊息都發佈在 推特-AIMageGuild 是否有興趣follow
I will follow,我會follow
I don't use Twitter,我不使用twitter
I have Twitter but not interested in following,我有twitter但沒興趣follow
"If I release information about AI on my personal website, are you interested in subscribing to RSS?",我AI訊息都發布在個人網站，是否有興趣訂閱RSS
Interested,有興趣
I can use RSS but not interested,我會用RSS但沒興趣
What is RSS? Is it edible?,RSS是什麼? 能吃嗎
Do you have any other suggestions for this survey?,對於這個問卷有其他建議嗎?
,
"Thank you for your response, I hope I can help you solve your pain points",謝謝你的填寫，希望我能幫你解決痛點
說明 (選填),說明 (選填)
,
,
.,.
.,謝謝你的填寫，希望我能幫你解決痛點
,說明 (選填)
,
,
,.
